 Тег (H1),ID в админке,inlinks (Куда) Перелинковка,Верхняя перелинковка,Ссылка с главной,"Базовая частота ""W""","Базовая частота ""W"" в месяц",Наличие курсов,Стаус,Раздел,SEO,URL,Символьный код,Title,Description,H1,ТЗ на текст,Статус SEO,Текст,Статус вплетение интентов,Статус текст,Графика,Статус графики,Видео,КМ,Статус публикации,Проверяющий,Статус страницы,Коммментрий,Индексирование,Автор,ТЗ на улучшение,ID Родительского листинга,Outlinks (Откуда) Каталог,Inlinks (Куда) Каталог
Курсы рисования на графическом планшете,164,,"156,131,167,152,124,166",FALSE,9 804,817,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/risovanie-na-graficheskom-planshete/,risovanie-na-graficheskom-planshete,Курсы рисования на графическом планшете - обучение для начинающих с нуля,Онлайн курсы по рисованию на графическом планшете для начинающих. Ознакомьтесь с условиями и подберите для себя подходящую программу обучения.,Курсы по рисованию на графическом планшете,https://docs.google.com/document/d/11yl5Om6rCkzeTnEkHOFY2o8hiX7hgOSWdeQigrJqY6E/edit,Готово,https://docs.google.com/document/d/16dd9Izr1wNfQVZqPCZEUV0poGJsWhjyunDhYamX71VI/edit,Не в работе,Готово,https://drive.google.com/file/d/1toNpIH8RfOQSBZoyk8ULHqSqIrPFw9Uk/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,156,Обучение иллюстрации,
Курсы 3D анимации,119,,"127,122,120,121,145,151,130,146",FALSE,7 709,642,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/3d-animatsiya/,3d-animatsiya,Курсы 3D-анимации - обучение с нуля для начинающих,"Агрегатор онлайн-курсов 3D-анимации. Лучшие курсы по созданию анимации видеоигр, фильмов и сериалов. Освойте оживление персонажей или других объектов.",Курсы по 3D-анимации,https://docs.google.com/document/d/1whQmcNwYBdQFZ_1qHbXFoXfThm8hWeMOy9QR8mfgoFo/edit?usp=sharing,Готово,https://docs.google.com/document/d/166ty-gRCNVF5jUfe0msHwVp2gHAjtkSfNqzZ1U22fQ0/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1O9hOq9hqsaDGTjqzG9zd3sZ5dHMymo4V/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,122,Курсы 3D моделирования,
Курсы 3D визуализации,120,,"122,118,139,140,121,119,153",FALSE,7 382,615,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/3d-vizualizatsiya/,3d-vizualizatsiya,Курсы 3D-визуализации - лучшие онлайн-курсы для начинающих с нуля,"Онлайн курсы 3D-визуализации. Обучитесь инструментам по созданию трехмерных моделей, персонажей, окружения. Курсы помогут презентовать идеи в визуальной форме.",Курсы по 3D-визуализации,https://docs.google.com/document/d/1_wpMf8u2Ccoau4VZDLWQtYp2cTVBDvipsJ_xZCOZ-RA/edit?usp=sharing,Готово,https://docs.google.com/document/d/1koDAPnPvic2TgzUhZTzrMyWqY82yHueHWNbng25MBcs/edit#,Не в работе,Готово,https://drive.google.com/file/d/10cPawZ4nryUV5vr-YSTiTn66SA-iUXeH/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Анастасия Матюшкина,,122,Курсы 3D моделирования,
Курсы промышленного дизайна,163,,"136,130,146,133",FALSE,5 835,486,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/promyshlennyj-dizajn/,promyshlennyj-dizajn,Курсы промышленного дизайна - обучение онлайн для начинающих ,Курсы промышленного дизайна для начинающих. Выберите подходящую для себя программу обучения и получи востребованную профессию. Только проверенные предложения онлайн-школ.,Курсы промышленного дизайна,https://docs.google.com/document/d/1es0-n6KBzXYlvld3nG05TMoU5G_5Pv8g8BEgQmSb_r8/edit,Готово,https://docs.google.com/document/d/14Kfa6bRnKoHy8q63eDuISCdcmceW_agxVK4Gh8GsnGI/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1UfGlqHBCA9tu6p0pH7br0f1dvubzfUmo/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,117,Курсы дизайна,
Курсы по типографике,166,,"152,157,124,125,144,158,150",FALSE,4 649,387,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/tipografika/,tipografika,Курсы по типографике для начинающих с обучением онлайн,Онлайн-курсы по типографии для начинающих. Ознакомьтесь с отзывами пользователей. Подберите себе лучшую программу обучения и станьте специалистом по работе и шрифтами.,Курсы по типографике,https://docs.google.com/document/d/1bEYidDO5p2pI-2P9G8U2yC4L7JCqZ8hFzXNylEwjxIg/edit,Готово,https://docs.google.com/document/d/1yVc9GJAWdnAuS1zYx_S5fJ5VITp-qmldGjJGFoq2xM4/edit#heading=h.ro8rhm5jnbe5,Не в работе,Готово,https://drive.google.com/file/d/1D4I7rQGBCkOz0oKIhRkgBxJ3mCJzm8Sn/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,152,Курсы графического дизайна,
Курсы дизайна мобильных приложений,154,,"144,162,136,149,126,152,163",FALSE,3 831,319,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/dizajn-mobilnyh-prilozhenij/,dizajn-mobilnyh-prilozhenij,Курсы по дизайну мобильных приложений - цена обучения онлайн,Онлайн-курсы по дизайну мобильных приложений для начинающих. Ознакомьтесь с программами обучения и отзывами пользователей. Станьте профессиональным дизайнером.,Курсы по дизайну мобильных приложений,https://docs.google.com/document/d/1i6gVpGBkqzO4nfb9tZPpeSG-9SnLqR2FigrRxdcWcCk/edit,Готово,https://docs.google.com/document/d/18zBffHoM5ykd1Xu764izfkMrBZFCpHGdxWZ2qGpN8V4/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1GprmPIMFNjrK8mI05__cTWuI-HbucjV_/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Анастасия Матюшкина,,144,Курсы UX/UI дизайна,
Курсы векторной графики,150,,"152,124,134,149,166",FALSE,2 111,176,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/vektornaya-grafika/,vektornaya-grafika,Обучение векторной графике с нуля - лучшие онлайн курсы ,Онлайн-курсы по векторной графики для начинающих. Актуальные условия и отзывы пользователей. Подберите для себя подходящую программу обучения и станьте специалистом.,Курсы по векторной графике,https://docs.google.com/document/d/14thLYJ-Ege3kpHgX_fdep7ngVzKJKX6q1HAB7GslcA0/edit,Готово,https://docs.google.com/document/d/1o0x1RrA-jysK510QZGxyjeGonljOZmkpxdYiofzDRWY/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/16fVbIrQHo8f9vWqhF5m2eMSQCURu5OcB/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,152,Курсы графического дизайна,
Курсы цифрового рисования,167,,"156,138,131,164,152,150,124,121",FALSE,2 019,168,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/tsifrovoe-risovanie/,tsifrovoe-risovanie,Обучение цифровому рисунку и живописи - курсы рисования с нуля,Онлайн-курсы по цифровому рисованию для начинающих. Ознакомьтесь с программами обучения и отзывами пользователей. Стань специалистом и получи востребованную профессию.,Курсы цифрового рисования,https://docs.google.com/document/d/1G9GGmedCbOQ-wMzQ5EocJ0Sz3dL-i6cIzuf8dN-SyvY/edit,Готово,https://docs.google.com/document/d/13-8XuQrPYo0sC5JeOcD7_7w0jnKD7af1g7bAFD3r458/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/19uRNymcco6WAve2U3FSyKhQ2ET4ATaiO/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,156,Обучение иллюстрации,
Курсы по созданию лендингов,165,,"143,149,136,126,144,152",FALSE,2 012,168,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/sozdanie-lendingov/,sozdanie-lendingov,Курсы по созданию лендингов - обучение дистанционно в лучших онлайн-школах,"Онлайн-курс по созданию лендингов для новичков. Выбери подходящую для себя программу обучения, сравни рейтинг и отзывы пользователей. Стань специалистом востребованной профессии.",Курсы по созданию лендингов,https://docs.google.com/document/d/1hoX8MxAYeEjugFhLKf74cLEZ2h1aZ83XWbfvv-KnMDE/edit,Готово,https://docs.google.com/document/d/1h6XcdbgxrUPAmpu6SGkOS_ooPd5iU8QTbrvPn_ckxSw/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1MZ7SH00xxmlA0bZMz-JTLhoz3wVD30Nb/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,149,Курсы веб дизайна,
Курсы продуктового дизайна,162,,"144,154,136,149,126,152,148",FALSE,1 941,162,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/produktovyj-dizajn/,produktovyj-dizajn,Курс по продуктовому дизайну - обучение в лучших онлайн-школах ,Онлайн-курсы по продуктовому дизайну для начинающих. Станьте востребованным специалистом с нуля. Ознакомьтесь с отзывами школ и подберите подходящий для вас курс.,Курсы по продуктовому дизайну,https://docs.google.com/document/d/1Sv6xI-zTnmKGcgccHZQtI_pNCn1w_NIh0NeN7KNWnEs/edit,Готово,https://docs.google.com/document/d/1mreNCJ48R4jO3GGArbgGna8UNA8PNZ0X35LzG7Y1TB4/edit,Не в работе,Готово,https://drive.google.com/file/d/1Og-Vnd3OSpV33oyZhi6YzDoVvlZt0YGe/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Анастасия Матюшкина,,144,Курсы UX/UI дизайна,
Курсы бренд дизайна,148,,"152,157,158,126,124,166,150,125",FALSE,1 668,139,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/brend-dizajn/,brend-dizajn,Курсы бренд-дизайна - обучение для начинающих в лучших онлайн-школах,Курсы по бренд-дизайну с нуля. Ознакомьтесь с лучшими школами и их рейтингом. Выберите для себя подходящую программу обучения и станьте востребованным специалистам.,Курсы бренд-дизайна,https://docs.google.com/document/d/1F8oTrjyIB34HTEhYv284ap6T_XBgRDvVESJ-MGJ3QoI/edit?usp=sharing,Готово,https://docs.google.com/document/d/1N_6GqcY6SIAkT2yRQIQWzXEbw0yJ4znIHlHn-qCH_1g/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1QMkNtjmkyvp2tDqRsXKv8fXNBptfziQt/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,152,Курсы графического дизайна,
Курсы 3D дженералист,121,,"122,120,151,118,146,130,137",FALSE,1 418,118,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/3d-generalist/,3d-generalist,Курсы 3D-дженералист - обучение онлайн для начинающих,Мы подобрали для вас лучшие онлайн-курсы 3d-дженералист. Обучитесь созданию вируатльных трехменрных объектов с нуля до про. Реальные оценки и отзывы от людей.,Курсы 3D-дженералист,https://docs.google.com/document/d/1_rOOpZlg40OS1n1H35AE5GfIE6zbC3jUn3nbKZ5cHhI/edit?usp=sharing,Готово,https://docs.google.com/document/d/1L5PXzlHMJ1c79kMEg-s5Kc-Cjopv057d1Lls1zFn4iw/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1cM1OnqcuZylApnkX8Sv8TkuLmczyvRpe/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,122,Курсы 3D моделирования,
Курсы CG рисования,131,,"156,151,164,121,167,130,146,145",FALSE,566,47,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/cg/,cg,Курсы CG-рисования - обучение рисования с нуля в лучших онлайн-школах,Онлайн-обучение на CG-художника. Пройдите курсы и станьте специалистом в проектах по созданию компьютерной графики для игр и кино. Сравнение актуальных курсов и онлайн-школ CG рисования.,Курсы CG-рисования,https://docs.google.com/document/d/10GH0aryB6VGwCrWhvDJFzrwzX_SF7UkKARb8az9r63w/edit?usp=sharing,Готово,https://docs.google.com/document/d/1eCZGM59DRhAOi1g5zo8_qhUd_iHZY1vCZKNiN93iOG4/edit#,Не в работе,Готово,https://drive.google.com/file/d/1wXt0YpOSNkRDpjgAYEq37qVECM17RnHP/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,156,Обучение иллюстрации,
Курсы инфографики карточек для маркетплейсов,158,,"152,157,136,126,166,150",FALSE,264,22,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/infografika-kartochek-dlya-marketplejsov/,infografika-kartochek-dlya-marketplejsov,Курсы по созданию инфографики для маркетплейсов,Подборка онлайн-курсов инфографики для маркетплейсов. Обучитесь с нуля созданию изображения в карточке товара. Сравните и выберите подходящее вам предложение.,Курсы инфографики карточек для маркетплейсов,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1ZAYJRJMYkYpo1Z5N05pNrBa2deLpRduIkE92V74jkiI/edit,Не в работе,Готово,https://drive.google.com/file/d/1yCYEYNgSIeU0KJWiju5zW9LWBgEt8H1M/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,152,Курсы графического дизайна,
Курсы нарративного дизайна,161,,"151,137,146,160,149,125,124",FALSE,216,18,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/narrativnyy-dizayn/,narrativnyy-dizayn,Курсы нарративного дизайна - обучение онлайн по современной программе,Онлайн-курсы по нарративному дизайн с нуля. Ознакомьтесь с условиями и программами обучения для начинающих. Получите востребованную профессию в лучших школах.,Курсы по нарративному дизайну,https://docs.google.com/document/d/1WXDfKRrswjEiHyPlF5fM7JdpO3oB_lUhYDwfQYH88pM/edit,Готово,https://docs.google.com/document/d/16XiqtDnu2Qafx2bP5iAv3Q4e4GS2Q_S-p03iqOfSor4/edit,Не в работе,Готово,https://drive.google.com/file/d/12YOFy6_4JTbl1-jLrOSKikAkIqcC_QyX/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,151,Курсы геймдизайна,
Программы и инструменты для дизайна,843,,"126,129,130,136,128,139,124,118,146,138,141,134,140,137,145,127,125,142,132,135,133,123",,3 239,,TRUE,Активна,Дизайн,Иван,https://kursy.ru/dizajn/instrumenty/,instrumenty,Курсы по программам и инструментам для дизайна,Собрали для вас все курсы по программам для дизайнеров в одном месте. Рейтинг обучающих программа по различным инструментам для дизайна.,Курсы по программам и инструментам для дизайна,Курсы по программам и инструментам для дизайна,Готово,Программы и инструменты для дизайна.docx,Готово,Готово,,Готово,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,117,Курсы дизайна,
Курсы Adobe Photoshop,126,,"152,149,156,144,157,158",FALSE,118 224,9 852,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/photoshop/,photoshop,Курсы Фотошопа (Adobe Photoshop) - обучение с нуля для начинающих онлайн,"Онлайн-курсы по работе с Adobe Photoshop для начинающих. Ознакомьтесь с условиями, стоимостью обучения и отзывами пользователей. Научитесь работать с программой фотошоп на профессиональном уровне.",Курсы Фотошопа (Adobe Photoshop),https://docs.google.com/document/d/1N5JZijNBToKuJUh01geyPX542rakPiN_rMnaJR__Y8s/edit,Готово,https://docs.google.com/document/d/1-UEZik-7JeRSaq07IiE-AeBgbVPyii5AnPZGpGsTByk/edit,Не в работе,Готово,https://drive.google.com/file/d/1z43mDx4G5AF_BeQoCa6_bRLyC4NHr3gV/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы AutoCAD,129,,"122,153,168,159,147,118,139",FALSE,22 012,1 834,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/autocad/,autocad,Курсы по AutoCAD - обучение для начинающих с нуля в [current_year] году,Онлайн-курсы по AutoCAD для начинающих. Ознакомьтесь с отзывами и условиями дистанционного обучения. Станьте специалистом по работе с дизайн программами. ,Курсы по AutoCAD,https://docs.google.com/document/d/1hIN9OD0N-hTh36mjc_NQWLAjPZk9Q9u0kRdbET44V5M/edit,Готово,https://docs.google.com/document/d/14kZURtJbASfwwbvBGAO2guMDBctLdbmLDhoI48HYH-k/edit,Не в работе,Готово,https://drive.google.com/file/d/1ogWKDiexaRS6bMi1F98IbA_Bl40pAoAn/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Figma,136,,"149,144,165,152,126,162",FALSE,17 048,1 421,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/figma/,figma,Курсы Figma (Фигма) с нуля - обучение с нуля для дизайнеров,Онлайн-обучение по работе с Figma для начинающих. Ознакомьтесь с реальными отзывами пользователей. Выбери себе подходящую программу обучения и стань специалистом.,Курсы по Figma,https://docs.google.com/document/d/1CQV-FtUK-gUCz13i9DPuvDWp80D8NH8ldviv_AfKXeU/edit,Готово,https://docs.google.com/document/d/1uFNqeCe7y4dovo3OqmUgifZPyWGWdScCQtmMzzLRV6A/edit,Не в работе,Готово,https://drive.google.com/file/d/1a16xMxRQODclKmWzYWEtZ5zLQpnBOap2/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы SolidWorks,141,,"147,163,153,122,128,133",FALSE,7 336,611,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/solidworks/,solidworks,Обучение SolidWorks: курсы для начинающих с нуля онлайн,Мы собрали для вас лучшие онлайн-курсы по SolidWorks. Обучитесь программному комплексу САПР для автоматизации работ промышленного предприятия. Сравните и выберите подходящее вам обучение. ,Курсы SolidWorks,https://docs.google.com/document/d/1olb8FRDb_7AzlHQIX0P2TIrK0fF6e459f2ZTDRVr0Cg/edit?usp=sharing,Готово,https://docs.google.com/document/d/1zrUHFAd71vi7F8wgGlvHRDv94sbq7j6ADLlouwXnEbw/edit#,Не в работе,Готово,https://drive.google.com/file/d/1gu1GX9f7uO-LNWPi2PIh1DNw4yNvkA7b/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Adobe Animate,123,,"119,164,167,154,160,145,151,137",FALSE,6 856,571,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/adobe-animate/,adobe-animate,Курсы по Adobe Animate - обучение онлайн с нуля,"Лучшие онлайн-курсы по Adobe Animate. Обучитесь с нуля программе для создания компьютерной анимации и мультимедиа материалов. Реальные оценки, отзывы и рейтинг школ.",Курсы по Adobe Animate,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1PfjVWodqk3uuIfqmiQlJgJCOKyZGgOlwqFRYmfuvnX0/edit,Не в работе,Готово,https://drive.google.com/file/d/1DIhHZmDXwbUpiTsHRn8mFt__zFdiN2Y1/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы SketchUp,140,,"120,147,168,153,159,132",FALSE,13 319,1 110,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/sketchup/,sketchup,Курсы SketchUp - обучение с нуля онлайн ,"Онлайн-обучение SketchUp. Получите навыки в создании 3D-дизайна, архитектурного проектирования и моделированию. Простой и современный метод обучения инструментам программы.",Курсы по SketchUp,https://docs.google.com/document/d/1a4dbQs-HAFP2IURPquR_AxZ0qg0lMtvXk-vYx_BfN4E/edit?usp=sharing,Готово,https://docs.google.com/document/d/1Ae8q3wKXfmcBJEAFWWPBBMh5QnyXacYZz-AASGOmhao/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1Gh9uZUh1l3WIxKkX5LpVIb3kt-ewnU0r/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Zbrush,146,,"122,132,160,130,151,156,152",FALSE,11 819,985,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/zbrush/,zbrush,Курсы Zbrush - обучение онлайн с нуля для начинающих,Мы подобрали для вас онлайн-курсы Zbrush. Обучитесь программе по 3D-моделированию с нуля. Ознакомьтесь со списком и выберите подходящее предложение.,Курсы по Zbrush,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1jz2Oi72dwikNBfiYPPkw2umZ7xqVnJtSc_VMx4P5OSE/edit#,Не в работе,Готово,https://drive.google.com/file/d/11h42pgCo-uPZj5kMelaQ5E6XbbTz3jMU/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы ArchiCAD,128,,"120,147,153,163,129,168,140",FALSE,10 943,912,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/archicad/,archicad,Курсы по ArchiCAD (Архикад) - обучение с нуля онлайн,Онлайн-курсы по ArchiCAD для начинающих.Ознакомьтесь с отзывами и условиями дистанционного обучения. Станьте специалистом по работе с дизайн программами. ,Курсы по ArchiCAD,https://docs.google.com/document/d/1TnB_g0qrorwNafp6GeR4yGMEsC1tiSRFSsdmGNipjlQ/edit,Готово,https://docs.google.com/document/d/1rWYaRYAjcI8W63H_VkzT56T7wwTm4dXnyF1fnNURNT0/edit,Не в работе,Готово,https://drive.google.com/file/d/1DDd4OYKArb7f0evqZ0hQKKJ0ysWOlL-x/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Cinema 4D,132,,"151,160,122,145,130,146,118",FALSE,4 621,385,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/cinema-4d/,cinema-4d,Курсы Cinema 4D - обучение программе онлайн с нуля    ,Лучшие обучающие курсы по программе Cinema 4D. Для начинающих и продвинутых Motion-дизайнеров. Начни зарабатывать на своем увлечении уже сейчас.,Курсы Cinema 4D,https://docs.google.com/document/d/1ebxDkRLWbJaWvgalpZHz9cpVP6MC8S2Nzu1hLr2E8cQ/edit,Готово,https://docs.google.com/document/d/1ayNAujNNzU1TvFO_7R4uNI2Ke6uQxggWPcepVivca8s/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1t7YORvK_edvmgkp5Kl-CqG3DUwVayrDc/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,843,Программы и инструменты,
Курс Houdini,137,,"160,127,124,121,145,151",FALSE,5 707,476,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/houdini/,houdini,Курс по Houdini - обучение с нуля для начинающих,Онлайн курсы по работе с Houdini для начинающих. Ознакомьтесь с рейтингом и отзывами пользователей. Подберите для себя подходящий курс и станьте востребованным специалистом.,Курс по Houdini,https://docs.google.com/document/d/1VyvakXV5F1e233cNU3AwKqg1D7uLMURYfiekKcARWDg/edit,Готово,https://docs.google.com/document/d/1pb7YgX7aAA67bjXcWyuNGkaz4b_ZU-iinjwJI_RUOGw/edit,Не в работе,Готово,https://drive.google.com/file/d/1oHCTrZ-ZGnTV1kqZcSwIGqGODrJjTnnX/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы CorelDraw,134,,"152,157,158,167,843,126",FALSE,6 589,549,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/coreldraw/,coreldraw,Курсы CorelDraw - обучение с нуля в лучших онлайн-школах,"Курсы CorelDraw обучение онлайн. На курсах вы найдете актуальную информация по создания и изготовления рекламной продукции: плакатов, листовок, календарей и визиток.",Курсы CorelDraw,https://docs.google.com/document/d/1schyYlVlZhxL0OLaSw9nGwgVn2PiUYaJC7gNNhsHsRA/edit?usp=sharing,Готово,https://docs.google.com/document/d/15RyzomjK0FoKzxlVey8hLDcahplkQSoallfktjMwy1c/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1d9av0RqMxABrIfy7VWFK6HxYdR-3_UDU/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Procreate,138,,"164,167,156,843,152",FALSE,6 179,515,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/procreate/,procreate,Курсы Procreate - обучение рисованию на Ipad с нуля по онлайн,Мы подобрали лучшие курсы рисования в Procreate. Вместе с профессиональными преподавателям научитесь создавать дизайн проекты на Ipad. Станьте цифровым художником и зарабатывайте дистанционно.,Курсы по рисованию в Procreate,https://docs.google.com/document/d/1EhGmgwv5PRSj40RlJMXE8yTO7-z3FjvPNW9dKUvWwSQ/edit,Готово,https://docs.google.com/document/d/1rvQ4fPKv63iQOp4vWbZE0vjGYmZY1yUCFn-5SIsJEDU/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1tr668dxsdccbiFUYxY6WmpfCfZlnzGqG/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Civil 3D,133,,"147,163,153,129,120,159",FALSE,3 970,331,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/civil-3d/,civil-3d,Курсы по Civil 3D - обучение с нуля для начинающих,Лучшие онлайн-курсы по Civil 3D. Освойте с нуля инструмент автоматизированного проектирования объектов инфраструктуры. Сравните и выберите подходящее предложение.,Курсы по Civil 3D,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1fb07yXxqaPamBDn6a1OVhrKohzYUSXx6meSY1TxaiHg/edit,Не в работе,Готово,https://drive.google.com/file/d/1yRs_rwhyhtSC-JgMad06uEAe97uzNdls/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы Adobe InDesign,125,,"166,152,149,144,164,156,163",FALSE,2 401,200,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/adobe-indesign/,adobe-indesign,Курсы Adobe InDesign - обучение для новичков онлайн,Мы собрали для вас лучшие курсы по программе Adobe InDesign. Обучитесь онлайн компьютерной вёрстки по соврменной программе. Реальные оценки и отзывы.,Курсы по Adobe InDesign,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1m0foxl27MsTr-YILpFNhyp2xmlrvYL6qK0KmxTaf8DY/edit,Не в работе,Готово,https://drive.google.com/file/d/18I5bt-D-wYshNoAq40IEhko9VKXrwpag/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
Курсы VFX,145,,"160,137,127,120,151,121,123",FALSE,3 900,325,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/vfx/,vfx,Курсы VFX - обучение для дизайнеров с нуля онлайн,Хотели бы стать востребованным специалистом в сфере визуальных и спецэффектов кино? Курсы VFX подойдут лучше всего. Актуальная система образования и индивидуальный подход.,Курсы VFX,https://docs.google.com/document/d/15fV6_gKG8siDl4IOlwJ1sHuwIvCpwZDtSveIOCn5XUQ/edit?usp=sharing,Готово,https://docs.google.com/document/d/1o5wo3-eRXfPuobuTEZy5TG2Jlv_fGUAFI6KFSz0DhBk/edit#heading=h.16la1f7pjggj,Не в работе,Готово,https://drive.google.com/file/d/1zL3XjmEue5P7W_o4ZXivFdVbrh6PEHNh/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,843,Программы и инструменты,
